text,label,source
Royal Mail chairman Donald Brydon set to step down,0,fiqa
Slump in Weir leads FTSE down from record high,0,fiqa
AstraZeneca wins FDA approval for key new lung cancer pill,2,fiqa
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,0,fiqa
Standard Chartered Shifts Emerging-Markets Strategy After Losses,0,fiqa
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,2,fiqa
Severn Trent share price rises as first half profit inches up as customer ...,2,fiqa
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,1,fiqa
Lloyds to cut 945 jobs as part of three-year restructuring strategy,0,fiqa
AstraZeneca to Buy ZS Pharma for $2.7 Billion,2,fiqa
"Ackman, in email, says supports Valeant CEO Pearson",2,fiqa
AstraZeneca sells US drug rights to Perrigo for $380 mln,2,fiqa
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",2,fiqa
CORRECTED-Shire to buy Dyax for about $5.9 bln,2,fiqa
Barclays poised to replace Sir Mike Rake as he heads for exit,1,fiqa
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,2,fiqa
AstraZeneca shares climb 3% as drug maker ups profits forecasts,2,fiqa
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,2,fiqa
easyJet expects resilient demand to withstand security fears,2,fiqa
Compass Group says positive for year ahead,2,fiqa
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,2,fiqa
US dollar wipes out sales gains for SABMiller,0,fiqa
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",1,fiqa
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,2,fiqa
Valeant CEO Pledges to Heed Critics After `Painful' Experience,0,fiqa
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",2,fiqa
StanChart and RBS struggle in Bank of England stress tests,0,fiqa
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,2,fiqa
Barclays sells benchmark indices unit to Bloomberg,2,fiqa
