text,label,source
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,twitter
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,twitter
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,twitter
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,twitter
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,twitter
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,twitter
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,twitter
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,twitter
$GTT: Cowen cuts to Market Perform,0,twitter
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,twitter
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,twitter
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,twitter
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,twitter
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,twitter
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,twitter
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,twitter
$MDCO: Oppenheimer cuts to Perform,0,twitter
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,twitter
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,twitter
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,twitter
$NCBS: Hovde Group cuts to Market Perform,0,twitter
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,twitter
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,twitter
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,twitter
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,twitter
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,twitter
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,twitter
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,twitter
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,twitter
2U downgraded to sector weight from overweight at KeyBanc Capital,0,twitter
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,twitter
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,twitter
American Software downgraded to neutral from buy at B. Riley FBR,0,twitter
Analysts question Silicon Motion's margin outlook,0,twitter
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,twitter
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,twitter
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,twitter
AT&T shares sink after MoffettNathanson downgrade,0,twitter
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,twitter
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,twitter
Autodesk downgraded to underweight from neutral at JPMorgan,0,twitter
BAML warns of profit pressure for Hormel,0,twitter
Barclays cools on Molson Coors,0,twitter
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,twitter
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,twitter
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,twitter
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,twitter
Bluebird bio downgraded to in line from outperform at Evercore ISI,0,twitter
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,twitter
Canada Goose downgraded to buy from strong buy at CFRA,0,twitter
Canada Goose stock price target cut to $50 from $65 at CFRA,0,twitter
Children's Place downgraded as e-commerce puts margins at risk,0,twitter
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,twitter
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0,twitter
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,twitter
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,twitter
"Dell, HPE targets trimmed on compute headwinds",0,twitter
Dish may not be key winner amid Intelsat woes - analyst,0,twitter
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0,twitter
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0,twitter
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0,twitter
Dropbox on watch after stinging Spruce Point report,0,twitter
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,twitter
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,twitter
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0,twitter
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,twitter
FormFactor cut on 'unsustainable' revenue outlook,0,twitter
Funko downgraded to hold from buy at Stifel Nicolaus,0,twitter
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,twitter
GM stock price target cut to $30 from $32 at Deutsche Bank,0,twitter
Grubhub gains a bear on margin view,0,twitter
H&P downgraded at Argus as drilling industry weakness seen persisting,0,twitter
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,twitter
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0,twitter
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,twitter
Home Depot stock price target cut to $237 from $240 at Instinet,0,twitter
Intelsat downgraded to underweight from neutral at J.P. Morgan,0,twitter
Intelsat lower after Morgan Stanley target cut,0,twitter
Jefferies warns on L Brands,0,twitter
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0,twitter
Kohl's stock price target cut to $50 from $53 at Wedbush,0,twitter
L Brands stock price target cut to $16 from $20 at Wedbush,0,twitter
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,twitter
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,twitter
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,twitter
Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,twitter
Methanex downgraded at TD Securities on valuation,0,twitter
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0,twitter
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,twitter
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,twitter
Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,twitter
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,twitter
Netflix downgraded to ‘underperform’ at Needham,0,twitter
Netflix stock falls after Wells Fargo turns bearish,0,twitter
New Netflix bear steps out,0,twitter
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,twitter
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,twitter
Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,twitter
Oppenheimer cuts estimates on Yum China,0,twitter
Orbcomm price target lowered to $9 at Canaccord,0,twitter
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,twitter
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,twitter
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,twitter
